TypForetag,Placeringstillgangar,ContentsCode,Tid,value
Total,6.1   of which shares in wholly owned real estate co.,"Stock values, MSEK",2024K1,143076
Total,6.1   of which shares in wholly owned real estate co.,"Stock values, MSEK",2024K2,145368
Total,6.2 Swedish shares,"Stock values, MSEK",2024K1,1226623
Total,6.2 Swedish shares,"Stock values, MSEK",2024K2,1233870
Total,6.2.1 Shares quoted,"Stock values, MSEK",2024K1,753987
Total,6.2.1 Shares quoted,"Stock values, MSEK",2024K2,761368
Total,6.2.2 Shares not quoted,"Stock values, MSEK",2024K1,472635
Total,6.2.2 Shares not quoted,"Stock values, MSEK",2024K2,472502
Total,6.3 Foreign shares,"Stock values, MSEK",2024K1,934016
Total,6.3 Foreign shares,"Stock values, MSEK",2024K2,942687
Total,6.4 Investment funds,"Stock values, MSEK",2024K1,3040225
Total,6.4 Investment funds,"Stock values, MSEK",2024K2,3126886
Total,6.4.1 Swedish,"Stock values, MSEK",2024K1,2138219
Total,6.4.1 Swedish,"Stock values, MSEK",2024K2,2179156
Total,6.4.2 Foreign,"Stock values, MSEK",2024K1,902006
Total,6.4.2 Foreign,"Stock values, MSEK",2024K2,947730
Total,6.5   of which funds in unit linked insurances,"Stock values, MSEK",2024K1,2080988
Total,6.5   of which funds in unit linked insurances,"Stock values, MSEK",2024K2,2128014
Total,6.6   of which investment in interest funds,"Stock values, MSEK",2024K1,295863
Total,6.6   of which investment in interest funds,"Stock values, MSEK",2024K2,303104
Total,6.7 Options and other ownership shares,"Stock values, MSEK",2024K1,261094
Total,6.7 Options and other ownership shares,"Stock values, MSEK",2024K2,263389
Total,7. Loans,"Stock values, MSEK",2024K1,125608
Total,7. Loans,"Stock values, MSEK",2024K2,126489
Total,7.1 Issued in SEK,"Stock values, MSEK",2024K1,91769
Total,7.1 Issued in SEK,"Stock values, MSEK",2024K2,91218
Total,7.2 Issued in foreign currency,"Stock values, MSEK",2024K1,33839
Total,7.2 Issued in foreign currency,"Stock values, MSEK",2024K2,35271
Total,7.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K1,99125
Total,7.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K2,99403
Total,7.3.1 Government,"Stock values, MSEK",2024K1,0
Total,7.3.1 Government,"Stock values, MSEK",2024K2,0
Total,7.3.2 Municipalities and regions,"Stock values, MSEK",2024K1,0
Total,7.3.2 Municipalities and regions,"Stock values, MSEK",2024K2,0
Total,7.3.3 Banks (MFI),"Stock values, MSEK",2024K1,11010
Total,7.3.3 Banks (MFI),"Stock values, MSEK",2024K2,8945
Total,7.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K1,0
Total,7.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K2,0
Total,7.3.5 Other MFI,"Stock values, MSEK",2024K1,0
Total,7.3.5 Other MFI,"Stock values, MSEK",2024K2,0
Total,7.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K1,22125
Total,7.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K2,22125
Total,7.3.7 Non-financial enterprises,"Stock values, MSEK",2024K1,54960
